incident_folder,file,event,description,source_page,source_file,author,license,license_url,rights_status,changes,sha256,size_bytes
USA/00-00-1921/Tulsa Race Massacre and destroyed Black wealth,USA/00-00-1921/Tulsa Race Massacre and destroyed Black wealth/Media/03 - Event Image - National Guard and Wounded.jpg,Tulsa Race Massacre,National Guard and wounded people during the 1921 Tulsa Race Massacre.,https://commons.wikimedia.org/wiki/File:Tulsaraceriot1921-wounded-pickedup-fullpicture.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Tulsaraceriot1921-wounded-pickedup-fullpicture.jpg/960px-Tulsaraceriot1921-wounded-pickedup-fullpicture.jpg,Tulsa World,Public domain in the United States (PD-US),https://commons.wikimedia.org/wiki/Commons:Copyright_rules_by_territory/United_States,verified,Downloaded thumbnail; no editorial alteration.,b19356ec3b9e51246609fbe746e8cf366d60ad7bf846d585f242ac7eb56efd1e,191184
"USA/00-00-1921/Tulsa Race Massacre, destroyed wealth, and the long cover-up","USA/00-00-1921/Tulsa Race Massacre, destroyed wealth, and the long cover-up/Media/03 - Event Image - National Guard and Wounded.jpg",Tulsa Race Massacre,National Guard and wounded people during the 1921 Tulsa Race Massacre.,https://commons.wikimedia.org/wiki/File:Tulsaraceriot1921-wounded-pickedup-fullpicture.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Tulsaraceriot1921-wounded-pickedup-fullpicture.jpg/960px-Tulsaraceriot1921-wounded-pickedup-fullpicture.jpg,Tulsa World,Public domain in the United States (PD-US),https://commons.wikimedia.org/wiki/Commons:Copyright_rules_by_territory/United_States,verified,Downloaded thumbnail; no editorial alteration.,b19356ec3b9e51246609fbe746e8cf366d60ad7bf846d585f242ac7eb56efd1e,191184
"USA/00-00-1921/Tulsa Race Massacre, destruction, and denial of compensation","USA/00-00-1921/Tulsa Race Massacre, destruction, and denial of compensation/Media/03 - Event Image - National Guard and Wounded.jpg",Tulsa Race Massacre,National Guard and wounded people during the 1921 Tulsa Race Massacre.,https://commons.wikimedia.org/wiki/File:Tulsaraceriot1921-wounded-pickedup-fullpicture.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Tulsaraceriot1921-wounded-pickedup-fullpicture.jpg/960px-Tulsaraceriot1921-wounded-pickedup-fullpicture.jpg,Tulsa World,Public domain in the United States (PD-US),https://commons.wikimedia.org/wiki/Commons:Copyright_rules_by_territory/United_States,verified,Downloaded thumbnail; no editorial alteration.,b19356ec3b9e51246609fbe746e8cf366d60ad7bf846d585f242ac7eb56efd1e,191184
USA/00-00-2021/January 6 Capitol attack accountability record,USA/00-00-2021/January 6 Capitol attack accountability record/Media/03 - Event Image - Capitol Steps Crowd.jpg,January 6 United States Capitol attack,"Crowd on the steps and balconies of the United States Capitol on January 6, 2021.",https://commons.wikimedia.org/wiki/File:DC_Capitol_Storming_IMG_7986.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/DC_Capitol_Storming_IMG_7986.jpg/960px-DC_Capitol_Storming_IMG_7986.jpg,TapTheForwardAssist,Creative Commons Attribution-ShareAlike 4.0 International,https://creativecommons.org/licenses/by-sa/4.0/,verified,Downloaded 960px thumbnail; no editorial alteration.,ba114287ecd529cca02eaaf5a8d56400952c50f2a056106a8127a0f48f1e2747,207008
USA/00-00-2021/January 6 Capitol attack accountability record,USA/00-00-2021/January 6 Capitol attack accountability record/Media/04 - Event Image - Capitol Crowd and Flags.jpg,January 6 United States Capitol attack,"Crowd and flags outside the United States Capitol on January 6, 2021.",https://commons.wikimedia.org/wiki/File:2021_storming_of_the_United_States_Capitol_2021_storming_of_the_United_States_Capitol_DSC09254-2_(50820534063).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/2021_storming_of_the_United_States_Capitol_2021_storming_of_the_United_States_Capitol_DSC09254-2_%2850820534063%29.jpg/960px-2021_storming_of_the_United_States_Capitol_2021_storming_of_the_United_States_Capitol_DSC09254-2_%2850820534063%29.jpg,Tyler Merbler,Creative Commons Attribution 2.0 Generic,https://creativecommons.org/licenses/by/2.0/,verified,Downloaded 960px thumbnail; no editorial alteration.,a81c02f111640400c0b7bec0ca27d4befce30bec39fe3887b35cc0a03a277382,216456
USA/00-00-2021/January 6 Capitol attack and security failures,USA/00-00-2021/January 6 Capitol attack and security failures/Media/03 - Event Image - Capitol Steps Crowd.jpg,January 6 United States Capitol attack,"Crowd on the steps and balconies of the United States Capitol on January 6, 2021.",https://commons.wikimedia.org/wiki/File:DC_Capitol_Storming_IMG_7986.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/DC_Capitol_Storming_IMG_7986.jpg/960px-DC_Capitol_Storming_IMG_7986.jpg,TapTheForwardAssist,Creative Commons Attribution-ShareAlike 4.0 International,https://creativecommons.org/licenses/by-sa/4.0/,verified,Downloaded 960px thumbnail; no editorial alteration.,ba114287ecd529cca02eaaf5a8d56400952c50f2a056106a8127a0f48f1e2747,207008
USA/00-00-2021/January 6 Capitol attack and security failures,USA/00-00-2021/January 6 Capitol attack and security failures/Media/04 - Event Image - Capitol Crowd and Flags.jpg,January 6 United States Capitol attack,"Crowd and flags outside the United States Capitol on January 6, 2021.",https://commons.wikimedia.org/wiki/File:2021_storming_of_the_United_States_Capitol_2021_storming_of_the_United_States_Capitol_DSC09254-2_(50820534063).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/2021_storming_of_the_United_States_Capitol_2021_storming_of_the_United_States_Capitol_DSC09254-2_%2850820534063%29.jpg/960px-2021_storming_of_the_United_States_Capitol_2021_storming_of_the_United_States_Capitol_DSC09254-2_%2850820534063%29.jpg,Tyler Merbler,Creative Commons Attribution 2.0 Generic,https://creativecommons.org/licenses/by/2.0/,verified,Downloaded 960px thumbnail; no editorial alteration.,a81c02f111640400c0b7bec0ca27d4befce30bec39fe3887b35cc0a03a277382,216456
"USA/00-00-2021/January 6 Capitol attack, security failure, and conspiracy ecosystem","USA/00-00-2021/January 6 Capitol attack, security failure, and conspiracy ecosystem/Media/03 - Event Image - Capitol Steps Crowd.jpg",January 6 United States Capitol attack,"Crowd on the steps and balconies of the United States Capitol on January 6, 2021.",https://commons.wikimedia.org/wiki/File:DC_Capitol_Storming_IMG_7986.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/DC_Capitol_Storming_IMG_7986.jpg/960px-DC_Capitol_Storming_IMG_7986.jpg,TapTheForwardAssist,Creative Commons Attribution-ShareAlike 4.0 International,https://creativecommons.org/licenses/by-sa/4.0/,verified,Downloaded 960px thumbnail; no editorial alteration.,ba114287ecd529cca02eaaf5a8d56400952c50f2a056106a8127a0f48f1e2747,207008
"USA/00-00-2021/January 6 Capitol attack, security failure, and conspiracy ecosystem","USA/00-00-2021/January 6 Capitol attack, security failure, and conspiracy ecosystem/Media/04 - Event Image - Capitol Crowd and Flags.jpg",January 6 United States Capitol attack,"Crowd and flags outside the United States Capitol on January 6, 2021.",https://commons.wikimedia.org/wiki/File:2021_storming_of_the_United_States_Capitol_2021_storming_of_the_United_States_Capitol_DSC09254-2_(50820534063).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/2021_storming_of_the_United_States_Capitol_2021_storming_of_the_United_States_Capitol_DSC09254-2_%2850820534063%29.jpg/960px-2021_storming_of_the_United_States_Capitol_2021_storming_of_the_United_States_Capitol_DSC09254-2_%2850820534063%29.jpg,Tyler Merbler,Creative Commons Attribution 2.0 Generic,https://creativecommons.org/licenses/by/2.0/,verified,Downloaded 960px thumbnail; no editorial alteration.,a81c02f111640400c0b7bec0ca27d4befce30bec39fe3887b35cc0a03a277382,216456
